Francisco, AJ	D	5'11	181	R	USA	
Vanninen, Aapo	C	6'0	176	R	FIN	
Obobaifo, Aaron	C	5'10	185	R	CAN	
Andersson, Adam	C	6'4	205	R	SWE	
Goljer, Adam	D	6'1	194	R	SVK	
Levac, Adam	C	NA	NA	?	CAN	
Nemec, Adam	LW	6'0	163	L	SVK	
Nomme, Adam	RW	NA	NA	?	SWE	
Novotony, Adam	LW	6'1	198	L	CZE	
Valentini, Adam	C	5'9	183	L	USA	
Kalimullin, Adel	RW	NA	NA	?	RUS	
O'Donnell, Aiden	LW	6'1	172	L	CAN	
Young, Aiden	LW	5'10	181	R	CAN	
Shaikhlislamov, Alan	LW	6'0	174	L	RUS	
Smits, Alberts	D	6'3	205	L	LAT	2007-12-02
Laksonen, Albin	LW	6'4	209	L	SWE	
Kovalenko, Aleksandr	D	NA	NA	?	RUS	
Di Iorio, Alessandro	RW	6'1	176	R	CAN	
Kostov, Alex	RW	NA	NA	?	CAN	
Kristiansson, Alex	LW	NA	NA	?	SWE	
McLean, Alex	LW	5'10	174	L	CAN	
Misiak, Alex	LW	6'0	183	R	SVK	
Zalesak, Alex	RW	6'0	183	R	SVK	
Bilecki, Alexander	D	6'1	154	L	CAN	
Command, Alexander	C	6'0	179	L	SWE	
Ivanov, Alexander	D	6'2	179	L	RUS	
Karmanov, Alexander	D	NA	NA	L	RUS	
Morozov, Alexander	D	NA	NA	?	RUS	
Sapozhnikov, Alexander	D	NA	NA	?	RUS	
Carbonneau, Alexandre	D	6'4	205	R	CAN	
Raymond, Alexandre	G	NA	NA	?	CAN	
Taillefer, Alexandre	D	NA	NA	?	CAN	
Vlasov, Alexei	LW	5'9	161	R	RUS	
Fortin, Alexis	D	NA	NA	?	CAN	
Sarkenov, Alisher	RW	NA	NA	?	CAN	
Gosselin, Alonso	C	6'0	195	R	CAN	
Ervasti, Alvar	D	6'4	194	R	FIN	
Mondoux, Andre	D	NA	NA	?	CAN	
Straka, Andreas	LW	6'0	188	R	SVK	
Bykov, Andrei	C	NA	NA	?	RUS	
Kuryanov, Andrei	C	5'9	157	R	RUS	
Molgachev, Andrei	C	NA	NA	?	CAN	
Zavadsky, Andrei	D	5'9	137	R	RUS	
Neill, Andrew	C	6'2	194	L	USA	
Robinson, Andrew	D	NA	NA	?	CAN	
Pufr, Antonin	D	NA	NA	?	CZE	
Uronen, Anttoni	C	NA	NA	?	FIN	
Ilyin, Arseni	LW	6'2	181	L	RUS	
Anisimov, Arsenii	D	NA	NA	?	CAN	
Kulagin, Artemy	RW	NA	NA	?	RUS	
Välilä, Arttu	D	5'9	168	R	FIN	
Matyuk, Artyom	C	NA	NA	?	RUS	
Vilchinsky, Artyom	D	6'4	243	R	RUS	
Johansson, Arvid	D	6'6	220	R	SWE	
Jaswal, Arvin	G	NA	NA	?	CAN	
Sarkenov, Asanali	RW	6'4	203	R	KAZ	
Vuori, Atte	C	NA	NA	?	FIN	
Brongel-Larsson, Axel	D	6'1	187	L	NOR	
Elofsson, Axel	D	5'10	161	R	SWE	
Edwards, Beckham	C	6'1	170	L	CAN	
Hrebik, Ben	G	NA	NA	?	CAN	
Kelly, Benett	D	NA	NA	?	CAN	
Cossette-Ayotte, Benjamin	D	6'1	172	R	CAN	
Wilmott, Benjamin	C	NA	NA	?	CAN	
Arrowsmith, Blake	C	6'0	190	L	USA	
Zielinski, Blake	LW	6'0	174	L	USA	
